Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Iron Treads ex,248/198,Regular,,Confirmed,,,
,Arven,249/198,Regular,,Confirmed,,,
,Jacq,250/198,Regular,,Confirmed,,,
,Miriam,251/198,Regular,,Confirmed,,,
,Penny,252/198,Regular,,Confirmed,,,
,Miraidon ex,253/198,Regular,,Confirmed,,,
,Koraidon ex,254/198,Regular,,Confirmed,,,
,Nest Ball,255/198,Regular,,Confirmed,,,
,Rare Candy,256/198,Regular,,Confirmed,,,
,Basic Lightning Energy,257/198,Regular,,Confirmed,,,
,Basic Fighting Energy,258/198,Regular,,Confirmed,,,
